Cluster,Direction,Target,Source,Value
0,RNA -> Protein,ADIPOQ,ADIPOQ,0.9999999999999998
0,RNA -> Protein,ADIPOQ,AGR2,0.46209601776113807
0,RNA -> Protein,ADIPOQ,C11orf96,0.16910700698802414
0,RNA -> Protein,ADIPOQ,CCL14,0.23125365194477698
0,RNA -> Protein,ADIPOQ,CXCL10,0.4802557665033823
0,RNA -> Protein,ADIPOQ,DHRS2,0.5182266456923825
0,RNA -> Protein,ADIPOQ,EGR1,0.25337505874588645
0,RNA -> Protein,ADIPOQ,FABP4,0.8898265262856039
0,RNA -> Protein,ADIPOQ,G0S2,0.483465402455455
0,RNA -> Protein,ADIPOQ,HVCN1,0.15918551258676586
0,RNA -> Protein,ADIPOQ,IGHA1,0.29315301775565417
0,RNA -> Protein,ADIPOQ,KRT19,0.21185962983123283
0,RNA -> Protein,ADIPOQ,MMP2,0.176747020990859
0,RNA -> Protein,ADIPOQ,MUCL1,0.4267842118464897
0,RNA -> Protein,ADIPOQ,PLA2G2A,0.25917697941922935
0,RNA -> Protein,ADIPOQ,POU2AF1,0.22492616847972347
0,RNA -> Protein,ADIPOQ,SDK2,0.20772145761747324
0,RNA -> Protein,ADIPOQ,SPP1,0.2970981260246089
0,RNA -> Protein,ADIPOQ,TMEM64,0.3266992591353848
0,RNA -> Protein,ADIPOQ,TTC39A,0.1698435349606259
0,RNA -> Protein,APOD,ADIPOQ,0.10289226825692063
0,RNA -> Protein,APOD,AGR2,0.28253708217556556
0,RNA -> Protein,APOD,C11orf96,0.24827032512076214
0,RNA -> Protein,APOD,CCL14,0.3500464631663741
0,RNA -> Protein,APOD,CXCL10,0.5806834582398837
0,RNA -> Protein,APOD,DHRS2,0.4598480417399647
0,RNA -> Protein,APOD,EGR1,0.21774979072006706
0,RNA -> Protein,APOD,FABP4,0.42758700401166044
0,RNA -> Protein,APOD,G0S2,0.24257271134302436
0,RNA -> Protein,APOD,HVCN1,0.11550833656757377
0,RNA -> Protein,APOD,IGHA1,0.5758497260076196
0,RNA -> Protein,APOD,KRT19,0.2255986642585638
0,RNA -> Protein,APOD,MMP2,0.1738222160001878
0,RNA -> Protein,APOD,MUCL1,0.6515684530850705
0,RNA -> Protein,APOD,PLA2G2A,0.16370001398160094
