Cluster,Modality,Feature,Score,SHAP Value
C0,RNA,PLA2G2A,1.0,0.5097849187574787
C0,RNA,TTC39A,0.6720621426113372,0.17662413343648375
C0,RNA,G0S2,0.6330888960594209,0.1370301764254256
C0,RNA,ADIPOQ,0.6711798973030223,0.1757278369792692
C0,RNA,CXCL10,0.8001182877419182,0.3067197747772158
C0,RNA,SPP1,0.5530235142915498,0.05568962709325398
C0,RNA,EGR1,0.6066048487018774,0.11012432881643697
C0,RNA,AGR2,0.6108068279238063,0.11439323118906286
C0,RNA,FABP4,0.8276399775406383,0.3346797909208702
C0,RNA,TMEM64,0.6125118045690902,0.1161253622782269
C0,RNA,C11orf96,0.580334836343045,0.08343592505130515
C0,RNA,POU2AF1,0.5672515463841363,0.07014426305167731
C0,RNA,MUCL1,0.7025552522920998,0.2076028940133139
C0,RNA,HVCN1,0.5757020619859113,0.07872936645106299
C0,RNA,DHRS2,0.6154953612240197,0.11915643678155252
C0,RNA,IGHA1,0.6023913953418186,0.10584376956192287
C0,RNA,MMP2,0.5551333943261038,0.057833110297182966
C0,RNA,CCL14,0.6718369414906668,0.17639534563255288
C0,RNA,KRT19,0.5622240520542009,0.06503669794011702
C0,RNA,SDK2,0.5875296386689955,0.09074531595917501
C0,Protein,ADIPOQ,0.5865600821708953,0.3855972445675
C0,Protein,APOD,0.7084643195877203,0.566756092898043
C0,Protein,C11orf96,0.7314234522302777,0.6008750875805021
C0,Protein,CCL19,0.4441702022579946,0.17399519360068771
C0,Protein,CRISPLD2,0.45539972449437244,0.19068310666057997
C0,Protein,CXCL10,0.5038038674170218,0.26261529681333906
C0,Protein,EGR1,0.5558752090988204,0.33999721962416074
C0,Protein,FABP4,1.0,0.9999999999999999
C0,Protein,FOS,0.6647762770576311,0.5018323819731724
C0,Protein,IGHA1,0.48560472101152957,0.2355699990182777
C0,Protein,MMP2,0.7553082283816677,0.6363696580064963
C0,Protein,MUCL1,0.5482582562986461,0.3286778559473307
C0,Protein,NR4A1,0.6426860563059792,0.46900465559108373
C0,Protein,PLA2G2A,0.5815055090290794,0.37808576942457384
C0,Protein,PROX1,0.45258682954542895,0.18650293359831793
C0,Protein,RNASE1,0.5703310649756343,0.3614797066793194
C0,Protein,STC2,0.4898086345642219,0.24181733015150852
C0,Protein,THBS2,0.48577219919950293,0.23581888417843822
C0,Protein,TNXB,0.7211512477199906,0.5856098205288206
C0,Protein,ZFP36,0.5474958087747022,0.3275448016887008
C0,Niche,PLA2G2A,0.7419608646939866,0.316346430794342
C0,Niche,G0S2,0.4688945321397802,0.01770415219718091
C0,Niche,LTF,0.5572957126035216,0.11438516635746687
C0,Niche,SFRP2,0.6768902157184165,0.24518113297791244
C0,Niche,SLIT3,0.46175130467644826,0.009891875574746023
C0,Niche,F13A1,0.476955710659861,0.0265203570324567
C0,Niche,GMNN,0.546446433636072,0.10251972193717307
C0,Niche,AGR3,0.4801742834578211,0.03004038788072272
C0,Niche,ABCB5,0.5198387732286596,0.07341993413879355
C0,Niche,SFRP4,0.7998834487927079,0.3796941614928674
C0,Niche,FABP4,0.7102209875718127,0.28163373246387957
C0,Niche,TMEM64,0.4711175961276221,0.020135432862894653
C0,Niche,OR4A5,0.45270657665613334,0.0
C0,Niche,KRT8,0.9999999999999999,0.5985540343982451
C0,Niche,MUCL1,0.4588706186226339,0.0067413786277691345
C0,Niche,CMA1,0.5531370763422588,0.10983702379700033
C0,Niche,FOS,0.6234679778779867,0.1867552600876382
C0,Niche,ACAN,0.5498286214885463,0.10621869235750514
C0,Niche,PLTP,0.5222312017108369,0.07603644232057905
C0,Niche,PARD6B,0.5027224722512937,0.054700485727771975
C1,RNA,PIGR,0.4215969082338545,0.12639730260242593
C1,RNA,ABI3BP,0.4103545232357889,0.11636056847048226
C1,RNA,CPB1,0.7036197200476673,0.37817554910487844
C1,RNA,SPP1,0.5674468033580592,0.25660602795611137
C1,RNA,BMPR1B,0.6375353607401355,0.31917817935071496
C1,RNA,MZB1,0.6789340641264728,0.3561372213482413
C1,RNA,STC2,0.47324400770271924,0.1725056867348177
C1,RNA,TFPI2,0.45299517391487776,0.15442836939997706
C1,RNA,CA2,0.9584555408524039,0.6056823798309996
C1,RNA,SLC30A8,0.4286544762089994,0.13269800600271314
C1,RNA,SCGB2A2,0.42390216330870306,0.128455338534886
C1,RNA,RASGRP2,0.395291718269308,0.10291312215407311
C1,RNA,POU2AF1,0.5293786610095297,0.22262037244663363
C1,RNA,MUCL1,0.41223308041658524,0.11803766625520945
C1,RNA,DHRS2,1.0,0.6427715465150763
C1,RNA,SERPINA6,0.4732232206028168,0.1724871288758642
C1,RNA,IGHA1,0.7111462512239188,0.3848949233626378
C1,RNA,FSIP1,0.6574468198021904,0.3369543025504909
C1,RNA,MAF,0.42281944788585113,0.12748873519924242
C1,RNA,CD79A,0.6731578943232531,0.35098049698540784
C1,Protein,ADCY1,0.27694251342971365,0.10338672120916081
C1,Protein,AEBP1,0.23784054695339218,0.05489909329481235
C1,Protein,AIMP1,0.3035915999209403,0.13643239912478078
C1,Protein,CA2,0.305294046042248,0.13854348410369566
C1,Protein,CD79A,0.2441476649547999,0.06272011147939233
C1,Protein,CLU,0.23724364955195812,0.0541589223593863
C1,Protein,DHRS2,1.0,0.9999999999999998
C1,Protein,FSIP1,0.38661559769267684,0.23938468195575852
C1,Protein,GASK1B,0.23220001212874014,0.047904658526901844
C1,Protein,IGFBP5,0.2450003978884291,0.06377752625726957
C1,Protein,IGHA1,0.4225660899970847,0.28396438602893753
C1,Protein,KRT17,0.2317443462804324,0.0473396190136231
C1,Protein,MZB1,0.44577548018061663,0.3127447358872881
C1,Protein,POU2AF1,0.27542538103550585,0.10150543088910235
C1,Protein,SDK2,0.44811191946323703,0.31564199167233326
C1,Protein,SERPINA3,0.24306766931349827,0.06138088403065872
C1,Protein,SLC19A2,0.3380860114740567,0.17920651877231153
C1,Protein,SPP1,0.233569145953244,0.04960242611840371
C1,Protein,SYNPO2,0.3543133215971249,0.19932887696047424
C1,Protein,TMEM64,0.27702814874278436,0.10349291160239887
C1,Niche,TENT5C,0.87885260798439,0.21930659334708263
C1,Niche,RGS5,0.4820397995728991,0.00807830314707464
C1,Niche,RFTN1,0.46718613783020074,0.00017151811742943668
C1,Niche,SPP1,0.7206810959109221,0.1351099712990806
C1,Niche,BMPR1B,0.5350031395664435,0.03627133399933713
C1,Niche,MZB1,0.9120797276952618,0.23699379380035102
C1,Niche,ELOVL2,0.49057745479012393,0.012623000988535138
C1,Niche,PLN,0.666462959649185,0.10624899711267838
C1,Niche,TFPI2,0.5655352551230023,0.052523950922209184
C1,Niche,PIP,0.5101450872248341,0.02303909002304011
C1,Niche,CA2,0.9999999999999999,0.2837948254182386
C1,Niche,SLC30A8,0.46686392442873753,0.0
C1,Niche,SLC1A1,0.532463659678629,0.03491953792993174
C1,Niche,PTGDS,0.46907673430926233,0.0011779056464232274
C1,Niche,POU2AF1,0.6421609136892125,0.09331272210422697
C1,Niche,MUC19,0.640103845374289,0.09221771958975344
C1,Niche,MUCL1,0.47945711824740583,0.006703510426297021
C1,Niche,DHRS2,0.9778520035406748,0.2720051771904331
C1,Niche,IGHA1,0.7895960511481,0.17179424120012654
C1,Niche,TIMP3,0.6375175930836097,0.09084102600072097
C10,RNA,PLA2G2D,0.5231235337484988,0.15884009470095384
C10,RNA,FCRL1,0.5356223976460052,0.18088677537491138
C10,RNA,LAMP3,0.8006303160237264,0.6483328569111265
C10,RNA,CXCL9,0.5034543457626601,0.12414571686023324
C10,RNA,CXCL10,0.6035325637412521,0.30067316225732454
C10,RNA,SFRP2,0.6077518465275709,0.3081155331020583
C10,RNA,TNXB,0.6523969244956954,0.3868647526870118
C10,RNA,BACH2,0.5077611849777159,0.13174252803179565
C10,RNA,FABP4,0.6738726073401176,0.42474559736287276
C10,RNA,COL14A1,0.5668056245417018,0.2358907062433918
C10,RNA,TNC,0.48747422204557184,0.0959584601935477
C10,RNA,GFRA1,0.5116137545684107,0.13853805538826136
C10,RNA,IGHA1,0.5127732914982702,0.14058335651578013
C10,RNA,IGHD,0.9999999999999998,0.9999999999999999
C10,RNA,KRT14,0.5569963932220019,0.2185882544097053
C10,RNA,CD79B,0.45664377028368364,0.041576787538978865
C10,RNA,FCER2,0.5467068170153586,0.2004385247415974
C10,RNA,NIBAN3,0.6686879733500511,0.4156004485775383
C10,RNA,MEF2B,0.45244281541971676,0.03416674522064744
C10,RNA,CD22,0.4622623841180862,0.0514874311025163
C10,Protein,ANKRD44,0.7562442103898541,0.2685390360118577
C10,Protein,APOD,0.7177113032984541,0.21696404129334446
C10,Protein,BCL11B,0.6121537144020024,0.07567877369284903
C10,Protein,CD19,0.8817180439224008,0.43648152439984134
C10,Protein,CD79B,0.6324489654918897,0.10284328181804703
C10,Protein,CXCL10,0.6874286144595145,0.17643168506011175
C10,Protein,FABP4,0.9359051862001048,0.5090091842038335
C10,Protein,FBLN5,0.7274819657574324,0.2300417429970566
C10,Protein,FCMR,0.6464316477313378,0.12155862973974929
C10,Protein,FCRL1,0.7856312426823403,0.30787258620786717
C10,Protein,ID3,0.6269763767312405,0.09551840659496613
C10,Protein,IFIT2,0.6376335912221467,0.109782728250708
C10,Protein,IGHA2,0.9703702105993217,0.5551394553288939
C10,Protein,IGHD,0.9431111657071806,0.5186541443968861
C10,Protein,LAMP3,0.9728921349782274,0.5585149659337395
C10,Protein,NIBAN3,1.0,0.5947979277152585
C10,Protein,P2RX5,0.9641008728750905,0.5467481585277248
C10,Protein,POSTN,0.6609721194786319,0.14102056007873365
C10,Protein,SFRP1,0.6126259745832865,0.07631087799522407
C10,Protein,ZFP36,0.7681803701481551,0.2845151827124811
C10,Niche,SNORC,0.6018816424971029,0.0027495301965260177
C10,Niche,CXCL9,0.84083582059618,0.3039623847503724
C10,Niche,MMRN1,0.7831904230729169,0.23129768025345454
C10,Niche,SFRP2,0.6404297969388664,0.051341271632291186
C10,Niche,DAB2,0.619579431425228,0.02505841621283056
C10,Niche,F13A1,0.6662148191030739,0.08384449125624283
C10,Niche,PHACTR1,0.8288986836809498,0.288915068507399
C10,Niche,AKAP12,0.6007199587561134,0.001285173814495555
C10,Niche,CCL21,0.5997004217479331,0.0
C10,Niche,CD72,0.6450996549928628,0.05722784489079391
C10,Niche,CD163,0.631220360614987,0.03973234884209231
C10,Niche,PCDH9,0.939732186285202,0.4286258530821129
C10,Niche,TCL1A,0.6111222778529587,0.014397780817506867
C10,Niche,IGHD,0.6601062955506126,0.07614441322880028
C10,Niche,PLIN1,1.0,0.5045962351493677
C10,Niche,HBA2,0.7390855315264235,0.17570141326958644
C10,Niche,CD79B,0.627725682838891,0.03532714497808076
C10,Niche,SLC25A41,0.6844208655182632,0.10679405947256082
C10,Niche,NIBAN3,0.6194478035894814,0.024892493204246247
C10,Niche,MMP9,0.6169408768433582,0.021732395450926867
C11,RNA,TACSTD2,0.3252085125489419,0.11366424089143776
C11,RNA,PTGS2,0.30250684420794893,0.09151493235610744
