Cluster,Direction,Target,Source,Value
0,RNA -> Protein,CD102.ICAM2,Aagab,0.444734687
0,RNA -> Protein,CD102.ICAM2,Adgrl2,0.552713864
0,RNA -> Protein,CD102.ICAM2,Ccdc34,0.467150225
0,RNA -> Protein,CD102.ICAM2,Dclk1,0.250537369
0,RNA -> Protein,CD102.ICAM2,Echs1,0.578288247
0,RNA -> Protein,CD102.ICAM2,Edf1,0.792305875
0,RNA -> Protein,CD102.ICAM2,Fzd2,0.985625812
0,RNA -> Protein,CD102.ICAM2,Hdac4,0.432602184
0,RNA -> Protein,CD102.ICAM2,Irx2,0.636925628
0,RNA -> Protein,CD102.ICAM2,Kdm6b,0.283656295
0,RNA -> Protein,CD102.ICAM2,Larp7,0.406779176
0,RNA -> Protein,CD102.ICAM2,Lhx1,0.110740042
0,RNA -> Protein,CD102.ICAM2,Ncam1,0.68912497
0,RNA -> Protein,CD102.ICAM2,Nsg2,0.079997836
0,RNA -> Protein,CD102.ICAM2,Polr1b,0.629494661
0,RNA -> Protein,CD102.ICAM2,Rpl17-ps8,0.53108889
0,RNA -> Protein,CD102.ICAM2,Sdf2l1,0.322644595
10,RNA -> Niche,Alx1,Six2,0.582603925
0,RNA -> Protein,CD102.ICAM2,Tcf7l2,0.187455711
0,RNA -> Protein,CD102.ICAM2,Tomm6,0.868496591
0,RNA -> Protein,CD117.KIT,Aagab,0.406592241
0,RNA -> Protein,CD117.KIT,Adgrl2,0.589871517
0,RNA -> Protein,CD117.KIT,Ccdc34,0.499650335
0,RNA -> Protein,CD117.KIT,Dclk1,0.302613183
0,RNA -> Protein,CD117.KIT,Echs1,0.464959861
0,RNA -> Protein,CD117.KIT,Edf1,0.678541807
0,RNA -> Protein,CD117.KIT,Fzd2,1
0,RNA -> Protein,CD117.KIT,Hdac4,0.29380922
0,RNA -> Protein,CD117.KIT,Irx2,0.77221483
0,RNA -> Protein,CD117.KIT,Kdm6b,0.333972673
0,RNA -> Protein,CD117.KIT,Larp7,0.430554349
0,RNA -> Protein,CD117.KIT,Lhx1,0.100916715
0,RNA -> Protein,CD117.KIT,Ncam1,0.639046901
0,RNA -> Protein,CD117.KIT,Nsg2,0.080565175
0,RNA -> Protein,CD117.KIT,Polr1b,0.575168611
0,RNA -> Protein,CD117.KIT,Rpl17-ps8,0.513480451
0,RNA -> Protein,CD117.KIT,Sdf2l1,0.27960274
2,RNA -> Niche,Crlf1,Six2,0.568057662
0,RNA -> Protein,CD117.KIT,Tcf7l2,0.259005438
0,RNA -> Protein,CD117.KIT,Tomm6,0.810022559
0,RNA -> Protein,CD201.EPCR,Aagab,0.599279207
0,RNA -> Protein,CD201.EPCR,Adgrl2,0.714607972
0,RNA -> Protein,CD201.EPCR,Ccdc34,0.442311213
0,RNA -> Protein,CD201.EPCR,Dclk1,0.21631925
0,RNA -> Protein,CD201.EPCR,Echs1,0.673258267
0,RNA -> Protein,CD201.EPCR,Edf1,0.65932794
0,RNA -> Protein,CD201.EPCR,Fzd2,1
0,RNA -> Protein,CD201.EPCR,Hdac4,0.417184553
0,RNA -> Protein,CD201.EPCR,Irx2,0.685205314
0,RNA -> Protein,CD201.EPCR,Kdm6b,0.270520738
0,RNA -> Protein,CD201.EPCR,Larp7,0.397227143
0,RNA -> Protein,CD201.EPCR,Lhx1,0.26399253
0,RNA -> Protein,CD201.EPCR,Ncam1,0.608240566
0,RNA -> Protein,CD201.EPCR,Nsg2,0.092599885
0,RNA -> Protein,CD201.EPCR,Polr1b,0.508838284
0,RNA -> Protein,CD201.EPCR,Rpl17-ps8,0.462499328
0,RNA -> Protein,CD201.EPCR,Sdf2l1,0.452899519
10,RNA -> Niche,Crlf1,Six2,0.568057662
0,RNA -> Protein,CD201.EPCR,Tcf7l2,0.22859122
0,RNA -> Protein,CD201.EPCR,Tomm6,0.842748027
0,RNA -> Protein,CD304.NPR1,Aagab,0.483718929
0,RNA -> Protein,CD304.NPR1,Adgrl2,0.696372278
0,RNA -> Protein,CD304.NPR1,Ccdc34,0.56063507
0,RNA -> Protein,CD304.NPR1,Dclk1,0.294775984
0,RNA -> Protein,CD304.NPR1,Echs1,0.585473762
0,RNA -> Protein,CD304.NPR1,Edf1,0.770132918
0,RNA -> Protein,CD304.NPR1,Fzd2,1
0,RNA -> Protein,CD304.NPR1,Hdac4,0.380386204
0,RNA -> Protein,CD304.NPR1,Irx2,0.719366893
0,RNA -> Protein,CD304.NPR1,Kdm6b,0.373089861
0,RNA -> Protein,CD304.NPR1,Larp7,0.533579172
0,RNA -> Protein,CD304.NPR1,Lhx1,0.111768062
0,RNA -> Protein,CD304.NPR1,Ncam1,0.654234224
