Target,Source,Value
Col3a1,Dicer1,
Vcan,Dicer1,
Gpc3,Dicer1,
Glra1,Dicer1,
Crabp1,Dicer1,
Ednrb,Dicer1,
Hoxa5,Dicer1,
Msx3,Dicer1,
Fbn2,Dicer1,
CD201.EPCR,Fbn2,0.264150626
CD63,Fbn2,0.200296917
NK.1.1.KLRB1,Fbn2,0.172630653
Ildr2,Fbn2,1
Ccdc34,Fbn2,1
Dbx1,Fbn2,1
MAdCAM.1,Glra1,0.129734677
CD201.EPCR,Glra1,0.064987001
CD63,Glra1,0.053264028
Slc1a2,Glra1,0.783216621
Hoxb4,Glra1,0.557979924
Msx3,Glra1,0.455985207
MAdCAM.1,Hoxa5,0.327487296
NK.1.1.KLRB1,Hoxa5,0.210113127
Ly.6A.E,Hoxa5,0.19966707
Hoxb7,Hoxa5,0.695065975
Hoxc4,Hoxa5,0.658846435
Glra1,Hoxa5,0.635762388
CD41.ITGA2B,Msx3,0.282905112
ESAM,Msx3,0.264398017
ErythroidCells.LY76,Msx3,0.254032299
Dbx1,Msx3,0.532944397
Wnt4,Msx3,0.456544966
Zeb2,Msx3,0.4107289
CD201.EPCR,Vcan,0.266773835
CD55,Vcan,0.208362413
Folate.Receptor,Vcan,0.186161599
Col11a1,Vcan,0.94015253
Limch1,Vcan,0.917411885
Aff3,Vcan,0.796918482
